path timestamp dataset modality split delta patience epoch train_prec val_prec
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.00 1 6 41.861 50.882
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.00 2 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.00 3 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.00 4 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.00 5 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.00 6 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.00 7 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.05 1 6 41.861 50.882
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.05 2 8 54.154 61.912
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.05 3 8 54.154 61.912
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.05 4 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.05 5 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.05 6 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.05 7 15 82.418 68.922
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.10 1 5 32.464 50.76
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.10 2 5 32.464 50.76
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.10 3 8 54.154 61.912
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.10 4 12 73.218 63.407
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.10 5 12 73.218 63.407
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.10 6 12 73.218 63.407
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.10 7 12 73.218 63.407
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.15 1 5 32.464 50.76
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.15 2 5 32.464 50.76
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.15 3 8 54.154 61.912
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.15 4 12 73.218 63.407
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.15 5 12 73.218 63.407
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.15 6 12 73.218 63.407
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.15 7 12 73.218 63.407
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.20 1 5 32.464 50.76
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.20 2 5 32.464 50.76
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.20 3 8 54.154 61.912
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.20 4 8 54.154 61.912
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.20 5 8 54.154 61.912
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.20 6 14 79.5 70.025
LVR/3.vr_stream/log_es2_lvr 1597648477.1522448 hmdb51 LVR1 1 0.20 7 14 79.5 70.025
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.00 1 3 44.438 67.494
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.00 2 24 99.372 97.158
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.00 3 24 99.372 97.158
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.00 4 28 99.597 96.723
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.00 5 28 99.597 96.723
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.00 6 28 99.597 96.723
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.00 7 28 99.597 96.723
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.05 1 3 44.438 67.494
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.05 2 6 81.346 90.796
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.05 3 12 96.449 95.386
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.05 4 12 96.449 95.386
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.05 5 12 96.449 95.386
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.05 6 12 96.449 95.386
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.05 7 12 96.449 95.386
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 1 3 44.438 67.494
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 2 6 81.346 90.796
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 3 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 4 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 5 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 6 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 7 9 93.046 93.843
