dataset	split	method	combination	param	prec
ucf101	1	simple_avg	('rgb', 'flow')	None	0.9207
ucf101	1	weighted_avg	('rgb', 'flow')	(5, 5)	0.9207
ucf101	1	choquet_fuzzy	('rgb', 'flow')	(70, 5)	0.9014
ucf101	1	SVM	('rgb', 'flow')	{'kernel': 'linear', 'C': 0.001, 'gamma': 1e-10, 'decision_function_shape': 'ovr'}	0.9051
hmdb51	1	simple_avg	('rgb', 'flow')	None	0.6386
hmdb51	1	weighted_avg	('rgb', 'flow')	(35, 30)	0.6314
hmdb51	1	choquet_fuzzy	('rgb', 'flow')	(35, 10)	0.6320
hmdb51	1	SVM	('rgb', 'flow')	{'kernel': 'linear', 'C': 0.01, 'gamma': 1e-10, 'decision_function_shape': 'ovr'}	0.6144
ucf101	1	FC	('rgb', 'flow')	None	0.8752
hmdb51	1	FC	('rgb', 'flow')	None	0.6268
