	FC	SVM	choquet+AF8-fuzzy	Weighted AVG
RGB  FLOW	0.6267973923527337	0.6359477124183006	0.6320261437908496	0.6313725490196078
RGB  AVR	0.5888889050951192	0.5699346405228758	0.5934640522875817	0.6
RGB  LVR0	0.571895442040138	0.5450980392156862	0.5875816993464053	0.5843137254901961
RGB  LVR1	0.5653594945770464	0.5647058823529412	0.5849673202614379	0.5941176470588235
RGB  LVR2	0.5483660195543876	0.534640522875817	0.5464052287581699	0.5437908496732026
FLOW  AVR	0.5803921650905235	0.5588235294117647	0.5379084967320261	0.545751633986928
FLOW  LVR0	0.6294117694430881	0.6078431372549019	0.5973856209150327	0.6300653594771242
FLOW  LVR1	0.6137254926893446	0.5947712418300654	0.6098039215686275	0.5941176470588235
FLOW  LVR2	0.6124183021495545	0.5718954248366013	0.6026143790849673	0.5607843137254902
AVR  LVR0	0.5385621144413169	0.5045751633986928	0.5215686274509804	0.5065359477124183
AVR  LVR1	0.575817017898061	0.5738562091503268	0.5764705882352941	0.5901960784313726
AVR  LVR2	0.5522875949136572	0.5294117647058824	0.545751633986928	0.5405228758169934
LVR0  LVR1	0.539215678296058	0.5222222222222223	0.5359477124183006	0.5529411764705883
LVR0  LVR2	0.5352941238802242	0.5065359477124183	0.5477124183006536	0.5562091503267974
LVR1  LVR2	0.5535947724884632	0.5359477124183006	0.5424836601307189	0.4915032679738562
RGB  FLOW  AVR	0.6509804126016455	0.6503267973856209	0.6470588235294118	0.6222222222222222
RGB  FLOW  LVR0	0.6738562338336621	0.6529411764705882	0.6392156862745098	0.6627450980392157
RGB  FLOW  LVR1	0.6588235259211921	0.6457516339869281	0.6411764705882353	0.64640522875817
RGB  FLOW  LVR2	0.6470588245267183	0.6274509803921569	0.6052287581699346	0.5843137254901961
RGB  AVR  LVR0	0.6581699366351359	0.6333333333333333	0.6078431372549019	0.6209150326797386
RGB  AVR  LVR1	0.6385621109507442	0.6372549019607843	0.6209150326797386	0.5980392156862745
RGB  AVR  LVR2	0.6202614404017629	0.5901960784313726	0.5758169934640522	0.5477124183006536
RGB  LVR0  LVR1	0.6013072030061211	0.6026143790849673	0.6052287581699346	0.6169934640522876
RGB  LVR0  LVR2	0.5941176493027631	0.5830065359477125	0.5751633986928104	0.5745098039215686
RGB  LVR1  LVR2	0.6039215716193704	0.5803921568627451	0.5836601307189543	0.5379084967320261
FLOW  AVR  LVR0	0.6555555600434347	0.6496732026143791	0.5980392156862745	0.5797385620915033
FLOW  AVR  LVR1	0.6647059047923369	0.6549019607843137	0.642483660130719	0.6143790849673203
FLOW  AVR  LVR2	0.6241830242381377	0.6274509803921569	0.6013071895424836	0.5287581699346405
FLOW  LVR0  LVR1	0.6352941440756804	0.634640522875817	0.6143790849673203	0.6163398692810458
FLOW  LVR0  LVR2	0.6379084962333729	0.6379084967320261	0.6104575163398693	0.6326797385620915
FLOW  LVR1  LVR2	0.6470588330038233	0.6215686274509804	0.6	0.5928104575163399
AVR  LVR0  LVR1	0.6196078516143599	0.6183006535947713	0.5915032679738562	0.6189542483660131
AVR  LVR0  LVR2	0.6339869248633291	0.611764705882353	0.5686274509803921	0.611764705882353
AVR  LVR1  LVR2	0.6228758254705691	0.6071895424836601	0.5777777777777777	0.5555555555555556
LVR0  LVR1  LVR2	0.578431394489762	0.5758169934640522	0.5647058823529412	0.5954248366013072
RGB  FLOW  AVR  LVR0	0.6986928343928718	0.6777777777777778	0.6477124183006536	0.673202614379085
RGB  FLOW  AVR  LVR1	0.6941176704955256	0.6725490196078432	0.6620915032679738	0.634640522875817
RGB  FLOW  AVR  LVR2	0.6777778141794641	0.6503267973856209	0.6065359477124183	0.596078431372549
RGB  FLOW  LVR0  LVR1	0.6712418325586256	0.6522875816993464	0.6392156862745098	0.6692810457516339
