Epoch: [126][50/1194]	Time 1.802 (1.874)	Loss 0.0156 (0.0156)	Prec@1 100.000 (99.950)
Epoch: [126][100/1194]	Time 1.815 (1.842)	Loss 0.0054 (0.0117)	Prec@1 100.000 (99.975)
Epoch: [126][150/1194]	Time 1.832 (1.837)	Loss 0.0206 (0.0141)	Prec@1 99.500 (99.950)
Epoch: [126][200/1194]	Time 1.823 (1.835)	Loss 0.0263 (0.0137)	Prec@1 100.000 (99.963)
Epoch: [126][250/1194]	Time 1.847 (1.834)	Loss 0.0090 (0.0134)	Prec@1 100.000 (99.970)
Epoch: [126][300/1194]	Time 1.833 (1.833)	Loss 0.0123 (0.0132)	Prec@1 100.000 (99.975)
Epoch: [126][350/1194]	Time 1.820 (1.833)	Loss 0.0203 (0.0137)	Prec@1 99.750 (99.971)
Epoch: [126][400/1194]	Time 1.832 (1.832)	Loss 0.0052 (0.0130)	Prec@1 100.000 (99.975)
Epoch: [126][450/1194]	Time 1.835 (1.833)	Loss 0.0063 (0.0131)	Prec@1 100.000 (99.975)
Epoch: [126][500/1194]	Time 1.822 (1.832)	Loss 0.0057 (0.0129)	Prec@1 100.000 (99.970)
Epoch: [126][550/1194]	Time 1.830 (1.832)	Loss 0.0188 (0.0128)	Prec@1 100.000 (99.973)
Epoch: [126][600/1194]	Time 1.834 (1.832)	Loss 0.0126 (0.0129)	Prec@1 100.000 (99.969)
Epoch: [126][650/1194]	Time 1.825 (1.831)	Loss 0.0119 (0.0128)	Prec@1 100.000 (99.969)
Epoch: [126][700/1194]	Time 1.815 (1.831)	Loss 0.0104 (0.0130)	Prec@1 100.000 (99.963)
Epoch: [126][750/1194]	Time 1.826 (1.831)	Loss 0.0064 (0.0131)	Prec@1 100.000 (99.965)
Epoch: [126][800/1194]	Time 1.845 (1.830)	Loss 0.0073 (0.0129)	Prec@1 100.000 (99.967)
Epoch: [126][850/1194]	Time 1.818 (1.830)	Loss 0.0071 (0.0134)	Prec@1 100.000 (99.962)
Epoch: [126][900/1194]	Time 1.819 (1.830)	Loss 0.0058 (0.0134)	Prec@1 100.000 (99.964)
Epoch: [126][950/1194]	Time 1.825 (1.830)	Loss 0.0148 (0.0134)	Prec@1 100.000 (99.964)
Epoch: [126][1000/1194]	Time 1.827 (1.830)	Loss 0.0148 (0.0133)	Prec@1 100.000 (99.964)
Epoch: [126][1050/1194]	Time 1.838 (1.830)	Loss 0.0362 (0.0133)	Prec@1 100.000 (99.964)
Epoch: [126][1100/1194]	Time 1.836 (1.830)	Loss 0.0609 (0.0134)	Prec@1 99.500 (99.964)
Epoch: [126][1150/1194]	Time 1.825 (1.830)	Loss 0.0176 (0.0133)	Prec@1 100.000 (99.965)
